numero_processo,numero_cnj,classe_codigo,classe_nome,orgao_julgador,data_ajuizamento,ultima_atualizacao,qtd_movimentos,grau,link_consulta
50073417220124047000,5007341-72.2012.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2013-07-03,2025-04-24T23:33:14.417Z,67,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50073417220124047000&selOrigem=TRF&chkMostrarBaixados=1
50074528020174047000,5007452-80.2017.4.04.7000,417,Apelação Criminal,GAB. 71 (Des. Federal ÂNGELO ROBERTO ILHA DA SILVA),2019-06-13,2025-02-12T09:50:16.542Z,75,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50074528020174047000&selOrigem=TRF&chkMostrarBaixados=1
50078505620194047000,5007850-56.2019.4.04.7000,417,Apelação Criminal,GAB. 81 (Des. Federal LORACI FLORES DE LIMA),2020-10-06,2024-08-30T19:00:18.456Z,24,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50078505620194047000&selOrigem=TRF&chkMostrarBaixados=1
50079053120244047000,5007905-31.2024.4.04.7000,417,Apelação Criminal,GAB 73 Des Federal LUIZ CARLOS CANALLI,2026-03-23,2026-09-13T13:18:46.607000Z,10,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50079053120244047000&selOrigem=TRF&chkMostrarBaixados=1
50079963920154047000,5007996-39.2015.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2016-06-06,2021-07-09T07:02:48.485000Z,27,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50079963920154047000&selOrigem=TRF&chkMostrarBaixados=1
50080177820164047000,5008017-78.2016.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal JOÃO PEDRO GEBRAN NETO),2016-08-24,2021-07-21T10:52:48.194000Z,22,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50080177820164047000&selOrigem=TRF&chkMostrarBaixados=1
50084794520104047000,5008479-45.2010.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2013-06-11,2025-04-24T22:42:25.930Z,45,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50084794520104047000&selOrigem=TRF&chkMostrarBaixados=1
50084899820244047000,5008489-98.2024.4.04.7000,417,Apelação Criminal,GAB. 73 (Des. Federal LUIZ CARLOS CANALLI),2025-05-20,2025-11-14T22:14:50.552Z,22,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50084899820244047000&selOrigem=TRF&chkMostrarBaixados=1
50085070320164047000,5008507-03.2016.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal JOÃO PEDRO GEBRAN NETO),2017-03-16,2021-07-21T22:09:31.417000Z,25,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50085070320164047000&selOrigem=TRF&chkMostrarBaixados=1
50087592520244047000,5008759-25.2024.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal MARCELO MALUCELLI),2025-07-25,2025-11-15T09:31:56.224Z,23,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50087592520244047000&selOrigem=TRF&chkMostrarBaixados=1
50089149120254047000,5008914-91.2025.4.04.7000,417,Apelação Criminal,GAB 72 Des Federal ALEXANDRE GONCALVES LIPPEL,2026-04-07,2026-09-10T23:24:59.166000Z,22,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50089149120254047000&selOrigem=TRF&chkMostrarBaixados=1
50090294020104047000,5009029-40.2010.4.04.7000,421,Embargos Infringentes e de Nulidade,GAB. 82 (Des. Federal JOÃO PEDRO GEBRAN NETO),2014-05-19,2022-06-05T14:37:09.250000Z,99,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50090294020104047000&selOrigem=TRF&chkMostrarBaixados=1
50090405420194047000,5009040-54.2019.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2021-08-05,2025-04-24T17:55:54.164Z,66,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50090405420194047000&selOrigem=TRF&chkMostrarBaixados=1
50090904120234047000,5009090-41.2023.4.04.7000,421,Embargos Infringentes e de Nulidade,GAB. 81 (Des. Federal LORACI FLORES DE LIMA),2024-02-23,2025-05-12T21:50:37.077Z,65,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50090904120234047000&selOrigem=TRF&chkMostrarBaixados=1
50092722720234047000,5009272-27.2023.4.04.7000,417,Apelação Criminal,GAB 73 Des Federal LUIZ CARLOS CANALLI,2023-10-18,2026-08-03T03:28:04.526000Z,49,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50092722720234047000&selOrigem=TRF&chkMostrarBaixados=1
50092984020144047000,5009298-40.2014.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal JOÃO PEDRO GEBRAN NETO),2017-05-16,2021-07-14T01:50:22.266000Z,43,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50092984020144047000&selOrigem=TRF&chkMostrarBaixados=1
50094038520124047000,5009403-85.2012.4.04.7000,417,Apelação Criminal,GAB. 71 (Juiz Federal DANILO PEREIRA JÚNIOR),2017-01-09,2021-07-21T02:05:46.820000Z,21,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50094038520124047000&selOrigem=TRF&chkMostrarBaixados=1
50094476020194047000,5009447-60.2019.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2022-10-04,2025-04-24T21:38:40.426Z,152,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50094476020194047000&selOrigem=TRF&chkMostrarBaixados=1
50095192820114047000,5009519-28.2011.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2012-09-13,2021-07-24T04:54:25.466000Z,23,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50095192820114047000&selOrigem=TRF&chkMostrarBaixados=1
50098077320114047000,5009807-73.2011.4.04.7000,417,Apelação Criminal,VicePresidencia,2014-11-04,2026-09-12T08:12:30.537000Z,351,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50098077320114047000&selOrigem=TRF&chkMostrarBaixados=1
50098757120214047000,5009875-71.2021.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2021-10-07,2024-09-22T06:50:03.139Z,56,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50098757120214047000&selOrigem=TRF&chkMostrarBaixados=1
50100095020114047000,5010009-50.2011.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2017-07-24,2025-04-24T19:02:40.300Z,268,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50100095020114047000&selOrigem=TRF&chkMostrarBaixados=1
50101576120114047000,5010157-61.2011.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2015-11-03,2021-07-23T09:36:05.250000Z,39,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50101576120114047000&selOrigem=TRF&chkMostrarBaixados=1
50102243520254047000,5010224-35.2025.4.04.7000,417,Apelação Criminal,GAB 73 Des Federal LUIZ CARLOS CANALLI,2026-08-26,2026-09-13T10:25:09.123000Z,3,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50102243520254047000&selOrigem=TRF&chkMostrarBaixados=1
50102446020244047000,5010244-60.2024.4.04.7000,417,Apelação Criminal,VicePresidencia,2026-02-27,2026-09-10T17:45:18.277000Z,30,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50102446020244047000&selOrigem=TRF&chkMostrarBaixados=1
50102845220184047000,5010284-52.2018.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal MARCELO MALUCELLI),2020-10-26,2025-04-25T01:06:46.083Z,85,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50102845220184047000&selOrigem=TRF&chkMostrarBaixados=1
50104312520114047000,5010431-25.2011.4.04.7000,417,Apelação Criminal,GAB. 71 (Juiz Federal DANILO PEREIRA JÚNIOR),2012-02-03,2021-07-13T18:55:37.491000Z,83,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50104312520114047000&selOrigem=TRF&chkMostrarBaixados=1
50104852520104047000,5010485-25.2010.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal MARCELO MALUCELLI),2011-05-11,2025-04-24T21:34:55.211Z,98,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50104852520104047000&selOrigem=TRF&chkMostrarBaixados=1
50105025620134047000,5010502-56.2013.4.04.7000,417,Apelação Criminal,GAB. 73 (Des. Federal LUIZ CARLOS CANALLI),2016-04-08,2025-04-24T18:52:33.940Z,66,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50105025620134047000&selOrigem=TRF&chkMostrarBaixados=1
50105083420114047000,5010508-34.2011.4.04.7000,417,Apelação Criminal,GAB. 81 (Juiz Federal NIVALDO BRUNONI),2014-06-27,2021-07-24T02:49:41.664000Z,57,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50105083420114047000&selOrigem=TRF&chkMostrarBaixados=1
50105156920244047000,5010515-69.2024.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal ALEXANDRE GONÇALVES LIPPEL),2024-09-05,2025-10-15T01:22:04.803Z,41,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50105156920244047000&selOrigem=TRF&chkMostrarBaixados=1
50105720520154047000,5010572-05.2015.4.04.7000,417,Apelação Criminal,GAB. 71 (Des. Federal ÂNGELO ROBERTO ILHA DA SILVA),2018-06-25,2024-09-23T11:20:54.941Z,59,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50105720520154047000&selOrigem=TRF&chkMostrarBaixados=1
50106715720244047000,5010671-57.2024.4.04.7000,417,Apelação Criminal,GAB. 71 (Des. Federal ÂNGELO ROBERTO ILHA DA SILVA),2024-10-15,2025-05-13T03:12:23.701Z,44,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50106715720244047000&selOrigem=TRF&chkMostrarBaixados=1
50109830920194047000,5010983-09.2019.4.04.7000,421,Embargos Infringentes e de Nulidade,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2015-05-28,2025-06-14T12:36:54.440Z,29,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50109830920194047000&selOrigem=TRF&chkMostrarBaixados=1
50110853620164047000,5011085-36.2016.4.04.7000,417,Apelação Criminal,GAB. 71 (Des. Federal ÂNGELO ROBERTO ILHA DA SILVA),2019-12-10,2024-09-23T20:50:09.013Z,40,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50110853620164047000&selOrigem=TRF&chkMostrarBaixados=1
50113130620194047000,5011313-06.2019.4.04.7000,417,Apelação Criminal,GAB. 81 (Juiz Federal NIVALDO BRUNONI),2018-04-12,2021-09-01T19:31:55.985000Z,26,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50113130620194047000&selOrigem=TRF&chkMostrarBaixados=1
50114752520244047000,5011475-25.2024.4.04.7000,417,Apelação Criminal,GAB 81 Des Federal LORACI FLORES DE LIMA,2026-05-12,2026-09-12T12:14:22.953000Z,35,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50114752520244047000&selOrigem=TRF&chkMostrarBaixados=1
50115115320134047000,5011511-53.2013.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2014-10-08,2021-07-12T05:55:27.245000Z,54,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50115115320134047000&selOrigem=TRF&chkMostrarBaixados=1
50116621920134047000,5011662-19.2013.4.04.7000,417,Apelação Criminal,GAB. 73 (Des. Federal LUIZ CARLOS CANALLI),2016-11-28,2021-07-21T11:36:36.320000Z,15,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50116621920134047000&selOrigem=TRF&chkMostrarBaixados=1
50116832420154047000,5011683-24.2015.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal JOÃO PEDRO GEBRAN NETO),2015-09-09,2021-07-23T10:47:23.463000Z,42,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50116832420154047000&selOrigem=TRF&chkMostrarBaixados=1
50116998020124047000,5011699-80.2012.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal MARCELO MALUCELLI),2013-02-22,2025-08-02T16:30:06.925Z,600,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50116998020124047000&selOrigem=TRF&chkMostrarBaixados=1
50117963620194047000,5011796-36.2019.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal MARCELO MALUCELLI),2019-08-20,2024-09-22T19:00:05.665Z,119,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50117963620194047000&selOrigem=TRF&chkMostrarBaixados=1
50118327820194047000,5011832-78.2019.4.04.7000,417,Apelação Criminal,GAB. 81 (Des. Federal LORACI FLORES DE LIMA),2019-12-12,2024-08-30T02:01:40.898Z,63,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50118327820194047000&selOrigem=TRF&chkMostrarBaixados=1
50119515420104047000,5011951-54.2010.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2014-12-02,2021-07-12T14:57:05.660000Z,23,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50119515420104047000&selOrigem=TRF&chkMostrarBaixados=1
50120917820164047000,5012091-78.2016.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal ANA PAULA DE BORTOLI),2024-06-14,2026-03-11T11:08:06.951000Z,102,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50120917820164047000&selOrigem=TRF&chkMostrarBaixados=1
50122456720144047000,5012245-67.2014.4.04.7000,417,Apelação Criminal,GAB. 71 (Juiz Federal DANILO PEREIRA JÚNIOR),2015-07-06,2021-07-23T10:09:25.357000Z,22,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50122456720144047000&selOrigem=TRF&chkMostrarBaixados=1
50122516420204047000,5012251-64.2020.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2020-07-14,2024-09-23T18:30:17.772Z,22,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50122516420204047000&selOrigem=TRF&chkMostrarBaixados=1
50122632520134047000,5012263-25.2013.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2015-08-07,2021-07-23T13:48:44.411000Z,15,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50122632520134047000&selOrigem=TRF&chkMostrarBaixados=1
50123310420154047000,5012331-04.2015.4.04.7000,421,Embargos Infringentes e de Nulidade,Vice-Presidência,2016-01-19,2025-06-03T19:20:20.123Z,467,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50123310420154047000&selOrigem=TRF&chkMostrarBaixados=1
50124424620194047000,5012442-46.2019.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2017-07-03,2025-06-14T15:30:40.888Z,26,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50124424620194047000&selOrigem=TRF&chkMostrarBaixados=1
50124931820234047000,5012493-18.2023.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2024-02-20,2024-08-13T18:02:41.986Z,21,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50124931820234047000&selOrigem=TRF&chkMostrarBaixados=1
50125813720154047000,5012581-37.2015.4.04.7000,426,Recurso em Sentido Estrito,Vice-Presidência,2024-03-21,2024-12-11T10:00:34.404Z,54,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50125813720154047000&selOrigem=TRF&chkMostrarBaixados=1
50125927120124047000,5012592-71.2012.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2016-03-28,2021-07-23T12:36:27.919000Z,22,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50125927120124047000&selOrigem=TRF&chkMostrarBaixados=1
50126093920144047000,5012609-39.2014.4.04.7000,421,Embargos Infringentes e de Nulidade,GAB. 73 (Des. Federal LUIZ CARLOS CANALLI),2015-11-04,2022-06-04T16:46:23.935000Z,48,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50126093920144047000&selOrigem=TRF&chkMostrarBaixados=1
50126438220124047000,5012643-82.2012.4.04.7000,421,Embargos Infringentes e de Nulidade,GAB. 73 (Des. Federal LUIZ CARLOS CANALLI),2015-05-06,2022-06-05T00:45:24.069000Z,82,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50126438220124047000&selOrigem=TRF&chkMostrarBaixados=1
50126961920194047000,5012696-19.2019.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal MARCELO MALUCELLI),2020-02-04,2025-04-24T23:12:12.981Z,55,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50126961920194047000&selOrigem=TRF&chkMostrarBaixados=1
50129540520144047000,5012954-05.2014.4.04.7000,417,Apelação Criminal,GAB. 73 (Des. Federal LUIZ CARLOS CANALLI),2016-10-03,2025-06-14T20:56:28.531Z,35,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50129540520144047000&selOrigem=TRF&chkMostrarBaixados=1
50130626820134047000,5013062-68.2013.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal JOÃO PEDRO GEBRAN NETO),2018-04-27,2021-07-08T23:11:18.425000Z,24,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50130626820134047000&selOrigem=TRF&chkMostrarBaixados=1
50130635320134047000,5013063-53.2013.4.04.7000,417,Apelação Criminal,GAB. 81 (Juiz Federal NIVALDO BRUNONI),2017-02-08,2021-07-21T15:11:59.821000Z,25,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50130635320134047000&selOrigem=TRF&chkMostrarBaixados=1
50130815420254047000,5013081-54.2025.4.04.7000,417,Apelação Criminal,GAB 81 Des Federal LORACI FLORES DE LIMA,2026-04-22,2026-07-31T04:50:31.106000Z,22,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50130815420254047000&selOrigem=TRF&chkMostrarBaixados=1
50131611820254047000,5013161-18.2025.4.04.7000,417,Apelação Criminal,GAB 73 Des Federal LUIZ CARLOS CANALLI,2026-04-15,2026-08-02T19:51:22.159000Z,25,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50131611820254047000&selOrigem=TRF&chkMostrarBaixados=1
50131674520134047000,5013167-45.2013.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal JOÃO PEDRO GEBRAN NETO),2014-12-17,2021-07-24T02:51:53.895000Z,31,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50131674520134047000&selOrigem=TRF&chkMostrarBaixados=1
50132299020104047000,5013229-90.2010.4.04.7000,417,Apelação Criminal,GAB. 73 (Des. Federal LUIZ CARLOS CANALLI),2011-09-09,2021-07-16T04:21:54.499000Z,59,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50132299020104047000&selOrigem=TRF&chkMostrarBaixados=1
50134055920164047000,5013405-59.2016.4.04.7000,421,Embargos Infringentes e de Nulidade,GAB. 71 (Des. Federal ÂNGELO ROBERTO ILHA DA SILVA),2017-04-26,2024-08-13T16:40:12.033Z,236,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50134055920164047000&selOrigem=TRF&chkMostrarBaixados=1
50134402920104047000,5013440-29.2010.4.04.7000,417,Apelação Criminal,GAB. 71 (Juiz Federal DANILO PEREIRA JÚNIOR),2014-11-17,2021-07-23T13:47:50.698000Z,25,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50134402920104047000&selOrigem=TRF&chkMostrarBaixados=1
50134991720104047000,5013499-17.2010.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2014-09-05,2025-06-14T22:05:41.910Z,24,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50134991720104047000&selOrigem=TRF&chkMostrarBaixados=1
50136003920194047000,5013600-39.2019.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2020-04-17,2024-09-23T18:00:18.744Z,16,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50136003920194047000&selOrigem=TRF&chkMostrarBaixados=1
50137049420204047000,5013704-94.2020.4.04.7000,417,Apelação Criminal,GAB. 82 (Des. Federal MARCELO MALUCELLI),2021-04-07,2024-09-19T13:01:47.632Z,27,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50137049420204047000&selOrigem=TRF&chkMostrarBaixados=1
50137807020104047000,5013780-70.2010.4.04.7000,417,Apelação Criminal,GAB. 71 (Juiz Federal DANILO PEREIRA JÚNIOR),2011-04-13,2022-06-05T13:02:19.558000Z,70,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50137807020104047000&selOrigem=TRF&chkMostrarBaixados=1
50139460520104047000,5013946-05.2010.4.04.7000,417,Apelação Criminal,GAB. 73 (Des. Federal LUIZ CARLOS CANALLI),2013-06-11,2024-08-29T14:25:03.708Z,70,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50139460520104047000&selOrigem=TRF&chkMostrarBaixados=1
50140680320194047000,5014068-03.2019.4.04.7000,417,Apelação Criminal,GAB. 72 (Des. Federal SALISE MONTEIRO SANCHOTENE),2019-10-09,2024-09-22T04:30:11.371Z,31,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50140680320194047000&selOrigem=TRF&chkMostrarBaixados=1
50141704020104047000,5014170-40.2010.4.04.7000,417,Apelação Criminal,GAB. 71 (Des. Federal ÂNGELO ROBERTO ILHA DA SILVA),2013-01-07,2025-08-02T22:40:11.970Z,87,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50141704020104047000&selOrigem=TRF&chkMostrarBaixados=1
50141709320174047000,5014170-93.2017.4.04.7000,421,Embargos Infringentes e de Nulidade,GAB. 71 (Des. Federal ÂNGELO ROBERTO ILHA DA SILVA),2018-02-05,2024-09-20T04:20:53.897Z,249,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50141709320174047000&selOrigem=TRF&chkMostrarBaixados=1
50142336520104047000,5014233-65.2010.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2016-04-12,2021-07-09T18:03:35.591000Z,27,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50142336520104047000&selOrigem=TRF&chkMostrarBaixados=1
50143201620134047000,5014320-16.2013.4.04.7000,417,Apelação Criminal,GAB. 83 (Des. Federal CARLOS EDUARDO THOMPSON FLORES LENZ),2014-09-24,2021-07-24T04:53:04.164000Z,27,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50143201620134047000&selOrigem=TRF&chkMostrarBaixados=1
50144842920234047000,5014484-29.2023.4.04.7000,426,Recurso em Sentido Estrito,GAB. 82 (Des. Federal MARCELO MALUCELLI),2023-09-11,2024-08-14T07:40:29.919Z,33,G2,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50144842920234047000&selOrigem=TRF&chkMostrarBaixados=1
